Company,Industry,Bankrupty Filed Date,Binary
JC Penny,Retail,May 15 2020,1
Hertz Corporation,Automotive,May 22 2020,1
Frontier Communications Corp,Telecom,April 14 2020,1
Diamond Offshore Drilling,Oil and Gas ,April 26 2020,1
McDermott Internation Inc,Oil and Gas ,Jan 21 2020,1
CEC Entertainment( Chuck  E Cheese's),Restaurant,June 24 2020,1
Neiman  Marcus,Retail,May 7 2020,1
Latam Airlines,Aviation,May 25 2020,1
Whiting Petroleum Corporation,Oli and Gas,April 1 2020,1
Quorum Health Corporation,HealthCare,April 7 2020,1
Nordstrom,Retail,NA,0
Chipotle Mexican Grill,Restaurant,NA,0
Transocean ,Oil and Gas ,NA,0
NOV Inc,Oil and Gas ,NA,0
Southwest ,Aviation,NA,0
Ford Motor Corp,Automotive,NA,0
Verizon,Telecom,NA,0
CVS Health Corp,Healthcare,NA,0
Macys,Retail,NA,0
Carnival Cruise Lines,Hospitality,NA,0
